"fever2wk","male","urban","pinf.rdt0","pinf.rdt1","pinf","reg","age"
0,0,0,0.166950411,0.871359957,0.747346674,"Sud-Ouest",0
0,0,0,0.149997333,0.881681322,0.767833143,"Sud-Ouest",1
0,0,0,0.265613149,0.893446244,0.823401474,"Sud-Ouest",2
0,0,0,0.262133624,0.900538678,0.839674379,"Sud-Ouest",3
0,0,0,0.366203377,0.91030335,0.847118025,"Sud-Ouest",4
1,0,0,0.167232113,0.848024163,0.736010852,"Sud-Ouest",0
1,0,0,0.1506894,0.860027948,0.756970183,"Sud-Ouest",1
1,0,0,0.273903397,0.876426816,0.814336783,"Sud-Ouest",2
1,0,0,0.269246371,0.884774046,0.831674353,"Sud-Ouest",3
1,0,0,0.373732642,0.895102571,0.839071531,"Sud-Ouest",4
0,1,0,0.191959215,0.857739154,0.732455234,"Sud-Ouest",0
0,1,0,0.17401285,0.869033522,0.753083688,"Sud-Ouest",1
0,1,0,0.303445498,0.882198743,0.810908399,"Sud-Ouest",2
0,1,0,0.29931591,0.889762997,0.82849803,"Sud-Ouest",3
0,1,0,0.403711092,0.900170527,0.835936096,"Sud-Ouest",4
1,1,0,0.193970409,0.833238357,0.721332972,"Sud-Ouest",0
1,1,0,0.174813908,0.846531025,0.742186492,"Sud-Ouest",1
1,1,0,0.311354557,0.864054867,0.802086595,"Sud-Ouest",2
1,1,0,0.30809529,0.873309206,0.819580983,"Sud-Ouest",3
1,1,0,0.412096605,0.883650848,0.827561899,"Sud-Ouest",4
0,0,1,0.050904216,0.72144532,0.433362056,"Sud-Ouest",0
0,0,1,0.044075923,0.737225208,0.458520038,"Sud-Ouest",1
0,0,1,0.081248883,0.740362072,0.537653831,"Sud-Ouest",2
0,0,1,0.078014774,0.749708733,0.564136719,"Sud-Ouest",3
0,0,1,0.121272666,0.774481327,0.575113778,"Sud-Ouest",4
1,0,1,0.050198916,0.673595891,0.420369758,"Sud-Ouest",0
1,0,1,0.043288463,0.692127692,0.444654242,"Sud-Ouest",1
1,0,1,0.081866119,0.701340893,0.524327845,"Sud-Ouest",2
1,0,1,0.079568665,0.712087074,0.550833557,"Sud-Ouest",3
1,0,1,0.121629534,0.73690327,0.562852075,"Sud-Ouest",4
0,1,1,0.059024,0.696432883,0.415519044,"Sud-Ouest",0
0,1,1,0.051619,0.713959742,0.441682284,"Sud-Ouest",1
0,1,1,0.094085055,0.718222121,0.519797719,"Sud-Ouest",2
0,1,1,0.092481928,0.728324542,0.546103264,"Sud-Ouest",3
0,1,1,0.138016237,0.752138266,0.557436209,"Sud-Ouest",4
1,1,1,0.058051899,0.645657099,0.403203516,"Sud-Ouest",0
1,1,1,0.050874635,0.66698508,0.42763733,"Sud-Ouest",1
1,1,1,0.094953421,0.677530784,0.506490332,"Sud-Ouest",2
1,1,1,0.092874239,0.689478884,0.532354499,"Sud-Ouest",3
1,1,1,0.138396629,0.713554248,0.543555607,"Sud-Ouest",4
0,0,0,0.372283662,0.784158123,0.626835574,"Cascades",0
0,0,0,0.465522729,0.76286959,0.645600285,"Cascades",1
0,0,0,0.477430987,0.801549388,0.706218339,"Cascades",2
0,0,0,0.481457733,0.813569491,0.72075182,"Cascades",3
0,0,0,0.553867914,0.823663522,0.73203269,"Cascades",4
1,0,0,0.358842595,0.765458715,0.603950657,"Cascades",0
1,0,0,0.451775185,0.743409985,0.622600683,"Cascades",1
1,0,0,0.464174898,0.78394141,0.685373318,"Cascades",2
